,lower Modal_Price,upper Modal_Price
2017-06-01,927.2613414549483,3531.6995480812525
2017-07-01,413.5143695644938,3900.5128777466625
2017-08-01,222.20855590949168,4277.310195489246
2017-09-01,56.18974322325448,4514.7805596258995
2017-10-01,-71.88105092671458,4687.2872970372555
2017-11-01,-191.03375076307975,4798.722005729513
2017-12-01,-275.21041239090937,4895.126800925875
2018-01-01,-947.4443180275803,4366.602699729256
2018-02-01,-1056.1553418677536,4373.905272880631
2018-03-01,-1126.5265245146618,4398.7026456148105
2018-04-01,-1114.548831990969,4491.668365192775
2018-05-01,-1158.6612749955145,4534.143685681809
2018-06-01,-658.3203187082227,5102.225209321039
2018-07-01,-749.7528432765184,5069.3981527994765
2018-08-01,-695.0821742723037,5174.646978691579
2018-09-01,-685.996675183033,5227.328582565948
2018-10-01,-685.5370152286541,5265.3519400890755
2018-11-01,-704.9385458147999,5278.334317452281
2018-12-01,-713.5727043455663,5297.67510012661
2019-01-01,-1242.0998200822758,4793.438847391245
2019-02-01,-1296.3307927985688,4760.572094383638
2019-03-01,-1325.5722727243294,4750.726172178372
2019-04-01,-1290.2422079276712,4805.770416737312
2019-05-01,-1309.4526018743522,4823.657148271757
2019-06-01,-807.3410786256641,5409.683876146701
2019-07-01,-906.882898614193,5382.137967926881
2019-08-01,-855.9762059032009,5494.777554097022
2019-09-01,-850.8612769610477,5552.828118730396
2019-10-01,-853.8940119863405,5595.214102758684
2019-11-01,-876.6879911771684,5611.439933627795
2019-12-01,-888.0194038626955,5633.718394120024
2020-01-01,-1430.6861363631217,5120.1641657553655
2020-02-01,-1488.001098534055,5088.401321564718
2020-03-01,-1519.5714116693496,5079.99481526466
2020-04-01,-1485.1145595302894,5137.963331266535
2020-05-01,-1508.012090984812,5159.505904398705
2020-06-01,-1007.3585983596008,5744.2455877370285
2020-07-01,-1106.7856549194435,5716.989320200642
2020-08-01,-1056.2256630253855,5829.476440303022
2020-09-01,-1051.310901307961,5887.538333545392
2020-10-01,-1054.5135379414983,5929.978228766056
2020-11-01,-1077.4112052242644,5946.333387422674
2020-12-01,-1088.8789488891985,5968.718679241983
2021-01-01,-1630.0354601301474,5456.936489163194
2021-02-01,-1687.3634237770962,5425.46639543709
2021-03-01,-1719.0789429709557,5417.331958392956
2021-04-01,-1685.145363659004,5475.539233838908
2021-05-01,-1709.7701586188477,5498.815296240432
2021-06-01,-1211.9489707359944,6086.772552952782
2021-07-01,-1313.8983409021753,6061.983420269262
